date_only,total_daily_pnl,avg_pnl_per_trade,win_rate,avg_trade_size_usd,avg_execution_price,avg_fee,trades_per_day,auto-deleveraging,buy_trades,close long,close short,long > short,open long,open short,sell_trades,settlement,short > long,spot dust conversion,buy_sell_ratio,classification,sentiment_group
2023-03-28,0.0,0.0,0.0,159.0,1898.1333333333332,0.0,3,0,0,0,0,0,3,0,0,0,0,0,,Greed,Greed
2023-11-14,155.50335699999994,0.1488070401913875,0.27464114832535885,11057.8275215311,10454.871036222965,2.674230290909091,1045,0,0,380,103,0,388,174,0,0,0,0,,Greed,Greed
2024-03-09,176965.491774,25.418772159436944,0.49008905486929044,5660.265764148233,9771.897315360242,0.9785666809824762,6962,0,88,2389,1931,13,1339,1114,75,0,13,0,1.1733333333333333,Extreme Greed,Greed
2024-07-03,158742.378078,22.229712656210616,0.3171824674415348,3058.8481095084726,2663.1323376477903,1.224461208007282,7141,8,786,886,1799,0,918,2389,295,0,2,58,2.664406779661017,Neutral,Neutral
2024-10-27,3189461.032019,90.50427150248291,0.4516046650208564,2949.6258644760364,5367.5032773242565,0.6112046404645157,35241,0,5806,4725,4026,5,5088,5712,9833,0,7,39,0.5904606935828333,Greed,Greed
2025-02-19,6699925.190574,50.047621894017375,0.41514592406122314,5259.977836723413,11102.057977906632,1.0832670527433932,133871,0,7977,36555,20232,36,37828,23472,7687,1,43,40,1.0377260309613634,Fear,Fear
